Course_code,Course_name,Credits,Count,Section,Faculty Name,Schedule
AIM 101,Statistics for DS,4,59,T224-AIM 101,G Srinivasaraghavan,"[{'day': 'Monday', 'room': 'R-102', 'start_time': '09:45', 'end_time': '11:15'}, {'day': 'Wednesday', 'room': 'R-102', 'start_time': '09:45', 'end_time': '11:15'}, {'day': 'Tuesday', 'room': 'R-102', 'start_time': '11:30', 'end_time': '13:00'}]"
AIM 102,Statistical Machine Learning,4,59,T224-AIM 102,Viswanath G,"[{'day': 'Monday', 'room': 'R-102', 'start_time': '11:30', 'end_time': '13:00'}, {'day': 'Wednesday', 'room': 'R-102', 'start_time': '11:30', 'end_time': '13:00'}]"
AIM 704,Multi-agent Systems,4,100+,T224-AIM 704,Srinath Srinivasa,"[{'day': 'Wednesday', 'room': 'A-307', 'start_time': '15:45', 'end_time': '17:15'}, {'day': 'Friday', 'room': 'A-307', 'start_time': '11:30', 'end_time': '13:00'}]"
AIM 720,Topics in AGI,4,15+,T224-AIM 720,Srinath Srinivasa,"[{'day': 'Monday', 'room': 'R-306', 'start_time': '11:00', 'end_time': '12:30'}, {'day': 'Wednesday', 'room': 'R-306', 'start_time': '11:00', 'end_time': '12:30'}]"
AIM 821,Spatial Computing,4,60+,T224-AIM 821,Uttam Kumar,"[{'day': 'Monday', 'room': 'R-105', 'start_time': '11:00', 'end_time': '12:30'}, {'day': 'Wednesday', 'room': 'R-105', 'start_time': '11:00', 'end_time': '12:30'}]"
AIM 825,Visual Recognition,4,100+,T224-AIM 825-Sec-A,Sushree Behera Viswanath G,"[{'day': 'Tuesday', 'room': 'A-303', 'start_time': '14:00', 'end_time': '15:30'}, {'day': 'Thursday', 'room': 'A-303', 'start_time': '14:00', 'end_time': '15:30'}]"
AIM 825,Visual Recognition,4,100+,T224-AIM 825-Sec-B,Dinesh Babu J,"[{'day': 'Tuesday', 'room': 'R-104', 'start_time': '14:00', 'end_time': '15:30'}, {'day': 'Thursday', 'room': 'R-104', 'start_time': '14:00', 'end_time': '15:30'}]"
AIM 829,Natural Language Processing,4,70+,T224-AIM 829,Tulika Saha,"[{'day': 'Tuesday', 'room': 'A-303', 'start_time': '11:00', 'end_time': '12:30'}, {'day': 'Thursday', 'room': 'A-303', 'start_time': '11:00', 'end_time': '12:30'}]"
AIM 831,Few-shot Learning,4,100+,T224-AIM 831,V Ramasubramanian,"[{'day': 'Monday', 'room': 'R-103', 'start_time': '14:00', 'end_time': '15:30'}, {'day': 'Thursday', 'room': 'R-103', 'start_time': '14:00', 'end_time': '15:30'}]"
AIM 832,Reinforcement Learning,4,60+,T224-AIM 832,Raghuram B,"[{'day': 'Tuesday', 'room': 'A-303', 'start_time': '15:45', 'end_time': '17:15'}, {'day': 'Friday', 'room': 'A-303', 'start_time': '09:45', 'end_time': '11:15'}]"
AIM 844,SpatioTemporal Data Analytics - II,4,30+,T224-AIM 844,Jaya Sreevalsan Nair,"[{'day': 'Monday', 'room': 'R-105', 'start_time': '15:45', 'end_time': '17:15'}, {'day': 'Wednesday', 'room': 'R-105', 'start_time': '15:45', 'end_time': '17:15'}]"
AMS 401,Science& Maths Pool-4 (Electromagnetics & Radiation Systems),4,30+,T224-AMS 401,Shiva Kumar Malapaka,"[{'day': 'Tuesday', 'room': 'R-105', 'start_time': '15:45', 'end_time': '17:15'}, {'day': 'Thursday', 'room': 'R-105', 'start_time': '15:45', 'end_time': '17:15'}]"
AMS 402,Science& Maths Pool-3 (Basic Computational Topology),4,100+,T224-AMS 402,Amit Chattopadhyay,"[{'day': 'Tuesday', 'room': 'A-304/305', 'start_time': '14:00', 'end_time': '15:30'}, {'day': 'Thursday', 'room': 'A-304/305', 'start_time': '14:00', 'end_time': '15:30'}]"
AMS 403,Science& Maths Pool-2 (Elements of Statistical Physics),4,30+,T224-AMS 403,Ashok B,"[{'day': 'Tuesday', 'room': 'R-105', 'start_time': '14:00', 'end_time': '15:30'}, {'day': 'Thursday', 'room': 'R-105', 'start_time': '14:00', 'end_time': '15:30'}]"
AMS 404,Science& Maths Pool-1 (A computational introduction to Number Theory),4,40+,T224-AMS 404,Manisha Kulkarni G Srinivasaraghavan,"[{'day': 'Tuesday', 'room': 'R-102', 'start_time': '14:00', 'end_time': '15:30'}, {'day': 'Thursday', 'room': 'R-102', 'start_time': '14:00', 'end_time': '15:30'}]"
COM 605,5G-NR Radio Access Network Design with Hands-on,4,30+,T224-COM 605,Prem Singh,"[{'day': 'Monday', 'room': 'R-101', 'start_time': '15:45', 'end_time': '17:15'}, {'day': 'Wednesday', 'room': 'R-101', 'start_time': '15:45', 'end_time': '17:15'}]"
COM 837,ML for Wireless Communication,4,15+,T224-COM 837,Priyanka Das Amrita Mishra,"[{'day': 'Tuesday', 'room': 'R-103', 'start_time': '14:00', 'end_time': '15:30'}, {'day': 'Friday', 'room': 'A-307', 'start_time': '11:30', 'end_time': '13:00'}]"
COM 863,Fundamentals of Radar Sensing,4,30+,T224-COM 863,Vinod V Reddy,"[{'day': 'Friday', 'room': 'A-304/305', 'start_time': '11:00', 'end_time': '12:30'}, {'day': 'Friday', 'room': 'A-304/305', 'start_time': '14:00', 'end_time': '15:30'}]"
CSE 102,Data Structures and Algorithms,4,161,T224-CSE 102-Sec-A,Muralidhara V N,"[{'day': 'Tuesday', 'room': 'A-106', 'start_time': '09:45', 'end_time': '11:15'}, {'day': 'Thursday', 'room': 'A-106', 'start_time': '09:45', 'end_time': '11:15'}, {'day': 'Friday', 'room': 'A-106', 'start_time': '11:30', 'end_time': '13:00'}]"
CSE 102,Data Structures and Algorithms,4,121,T224-CSE 102-Sec-B,Pradeesha Ashok,"[{'day': 'Tuesday', 'room': 'R-203', 'start_time': '14:00', 'end_time': '15:30'}, {'day': 'Thursday', 'room': 'R-203', 'start_time': '14:00', 'end_time': '15:30'}, {'day': 'Friday', 'room': 'R-203', 'start_time': '11:30', 'end_time': '13:00'}]"
CSE 102P,Data Structures and Algorithms Lab,4,161,T224-CSE 102-Sec-A,Muralidhara V N,"[{'day': 'Tuesday', 'room': 'R-106,107,108', 'start_time': '14:00', 'end_time': '16:00'}, {'day': 'Thursday', 'room': 'R-106,107,108', 'start_time': '14:00', 'end_time': '16:00'}]"
